trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,0,-59.89833655485678,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-81.2826557163701,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-66.07180731482809,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.631283645506926}",30,0,-115.61998588018223,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,0,-35.196684008825756,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,0,-45.48660523257985,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,0,-111.72722163915265,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-221.38810931705027,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 5}",0
50,False,"{'a': 0.5, 'e': 0.6004955788122659}",30,4,-94.39222195463014,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-37.06475101346093,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-4.055194459467605,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-180.11681509497274,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
54,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-125.77457362715549,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,0,-21.965648183606437,"{0: 20, 1: 3, 2: 0, 3: 2, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,0,-104.17482823602381,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.559898366565402}",25,0,-45.880738273955814,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,0,-17.79007622463575,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,4.90932227258772,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-46.58799168041424,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-97.62531731810677,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,1,-14.249276542823749,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,7,-49.296844301537064,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-6.948744650952381,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5168513344916992}",25,2,-74.39904010357665,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.5117085777865424}",30,0,-73.44680777315156,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,0,-102.08604238790554,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,0,-14.762283032833048,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,0,-118.26099379455295,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,6,6.295376536334083,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-12.179389592980996,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.48190899009020244}",25,0,-56.52388894145862,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,2,-3.8825511409609677,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,0,-27.088742498578295,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,0,-73.39886500318599,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.46301306831122807}",25,0,-35.46364080257698,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.4584060113052235}",30,15,3.102887757037458,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,0,-36.39460527773509,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,-6.951812151161161,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,1,-37.080622349393934,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,0,4.681622205081793,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,3,-39.63027048580975,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,-54.47186415344455,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,0,-21.570662049007467,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,3,-5.711092898608975,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.418951549247639}",20,0,-87.84841649135426,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,0,19.745747078583015,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,18,-2.3070516789701436,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,2,-82.01341858039575,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
90,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,11,-5.628471168241148,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,0,-54.82467305065998,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.3945537103716011}",30,0,30.588752968693424,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,0,-10.59385201204643,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.3867410234545012}",30,13,15.07573610388341,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38289288597511206}",35,3,-20.714998657047026,"{0: 28, 1: 1, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,1,-70.21028810028689,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,13,11.40453456706338,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,17,5.7542160976281895,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-17.615172365681005,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,0,-26.665432119768926,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,15,-22.84908759363673,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,0,-78.60487100508387,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.35345468195878016}",25,16,-27.788127136853667,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3499377491111553}",30,0,-71.45479549400491,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.3464558103300574}",30,5,-17.21941607354133,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,0,-48.32050218849606,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,12,-9.302611755438644,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
