trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.8, 'e': 0.20597509820488344}",20,2,-18.493261188285565,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.20392561173421342}",25,5,-2.4969302635776174,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.20189651799465538}",30,13,25.788294963396133,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.1998876140751445}",35,22,13.604548956430076,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.19789869908361465}",20,15,-0.3056151121403219,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.19592957412690934}",20,10,15.217222431166554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.19398004229089189}",20,13,11.888560825227602,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8, 'e': 0.19204990862075408}",30,10,18.18913018366291,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.1901389801015205}",25,1,40.10494236703113,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.1882470656387468}",25,5,8.611312793396545,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.18637397603940997}",30,8,23.63000513248272,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.18451952399298926}",30,19,-21.388473830443793,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.8, 'e': 0.18268352405273466}",20,15,5.178735499860947,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 0.1808657926171221}",20,12,4.445538223414819,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.8, 'e': 0.17906614791149322}",25,4,7.938955186640638,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.8, 'e': 0.17728440996987782}",25,0,2.255293151952671,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
173,False,"{'a': 0.8, 'e': 0.17552040061699686}",20,12,0.7868609238902644,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.17377394345044514}",25,11,14.530186286898552,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.17204486382305054}",25,0,10.86605620639436,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
176,False,"{'a': 0.8, 'e': 0.17033298882540943}",20,0,-43.099286958005166,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
177,False,"{'a': 0.8, 'e': 0.1686381472685955}",20,3,-9.970173830871719,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.8, 'e': 0.1669601696670407}",25,0,30.39959877522297,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
179,False,"{'a': 0.8, 'e': 0.16529888822158653}",25,2,-7.2551961513743075,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.8, 'e': 0.16365413680270405}",25,0,16.258258211600253,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
181,False,"{'a': 0.8, 'e': 0.16202575093388075}",20,11,15.910736510518085,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.16041356777517274}",25,9,-16.014511240092425,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.8, 'e': 0.15881742610692068}",20,16,5.743001762486919,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.8, 'e': 0.1572371663136276}",20,0,6.937295198223143,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
185,False,"{'a': 0.8, 'e': 0.1556726303679973}",25,0,20.886536417269788,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
186,False,"{'a': 0.8, 'e': 0.1541236618151314}",25,12,16.24092104866945,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.8, 'e': 0.15259010575688386}",20,9,18.551211065944955,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.8, 'e': 0.15107180883637084}",25,0,-17.86339967260129,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
189,False,"{'a': 0.8, 'e': 0.14956861922263504}",20,2,26.83540822046435,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.8, 'e': 0.14808038659546244}",25,14,20.367976361450957,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.8, 'e': 0.14660696213035015}",30,13,-16.121748018770614,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 0.8, 'e': 0.14514819848362373}",20,6,-12.78667480628621,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
