trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9801986733067553}",25,0,-112.11542278400219,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9704455335485082}",25,7,-128.0201685188024,"{0: 10, 1: 3, 2: 1, 3: 2, 4: 2}",1
3,False,"{'a': 0.3, 'e': 0.9607894391523232}",30,0,-129.24665686487546,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.951229424500714}",20,0,-42.405148679582204,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.9417645335842487}",30,12,-32.04215076731839,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.3, 'e': 0.9323938199059483}",30,19,-97.8352618074812,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 2}",1
7,False,"{'a': 0.3, 'e': 0.9231163463866358}",30,5,-63.096643192170234,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",1
8,False,"{'a': 0.3, 'e': 0.9139311852712282}",20,0,-106.26838179366304,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.9048374180359595}",20,0,-30.942205586102048,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.8958341352965282}",30,0,-31.512822576691136,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.8869204367171575}",30,13,-101.91055458893615,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.3, 'e': 0.8780954309205613}",25,0,-80.91274017201788,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.8693582353988059}",20,0,-116.42326566403194,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.3, 'e': 0.8607079764250578}",20,0,-135.69607708417163,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.8521437889662113}",20,0,-115.94261206964373,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.3, 'e': 0.8436648165963837}",20,0,-68.79047779096773,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.835270211411272}",25,0,-106.12436064204167,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.8269591339433623}",20,0,-160.80708102501129,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.3, 'e': 0.8187307530779818}",20,0,-168.46716519573877,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.3, 'e': 0.8105842459701871}",30,0,-147.0462180074459,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
21,False,"{'a': 0.3, 'e': 0.8025187979624785}",20,0,-163.73977595040196,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
22,False,"{'a': 0.3, 'e': 0.794533602503334}",20,0,-183.31702707079526,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
23,False,"{'a': 0.3, 'e': 0.7866278610665535}",20,0,-127.58467013834124,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.3, 'e': 0.7788007830714049}",30,0,-196.32076287320822,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
25,False,"{'a': 0.3, 'e': 0.7710515858035663}",20,0,-76.95009101294606,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.7633794943368531}",20,0,-4.802518517615959,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.3, 'e': 0.7557837414557255}",20,0,-16.855698024359537,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.3, 'e': 0.7482635675785653}",20,0,-58.00648461584157,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.3, 'e': 0.7408182206817179}",20,10,-45.740996155118374,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.3, 'e': 0.7334469562242892}",20,0,-69.75127641291198,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.3, 'e': 0.7261490370736909}",25,0,-76.43682547916637,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.3, 'e': 0.7189237334319262}",20,0,12.385074121065477,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.3, 'e': 0.7117703227626097}",30,0,-97.57790865003514,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.3, 'e': 0.7046880897187134}",20,0,-39.81099054996399,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
35,False,"{'a': 0.3, 'e': 0.697676326071031}",25,0,-103.37348752075148,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
36,False,"{'a': 0.3, 'e': 0.6907343306373547}",25,0,-27.255411585045582,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.3, 'e': 0.6838614092123558}",25,0,-16.83077298593113,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.3, 'e': 0.6770568744981647}",20,2,-42.17609410806625,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.3, 'e': 0.6703200460356393}",35,0,-88.06072753251114,"{0: 25, 1: 4, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.3, 'e': 0.6636502501363194}",25,0,-138.2038476877046,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
41,False,"{'a': 0.3, 'e': 0.6570468198150567}",20,0,-59.38512423866863,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.3, 'e': 0.6505090947233165}",25,9,-40.13400653949073,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.3, 'e': 0.6440364210831414}",25,0,-69.63756603845901,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
44,False,"{'a': 0.3, 'e': 0.6376281516217733}",20,0,-94.40695045620097,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
